rebounds,penalties,gain,offensiveRebounds,blocked,passes,goalAssists,tossUpWin,centrePassReceives,obstructionPenalties,feeds,playerId,goals,offsides,badPasses,period,defensiveRebounds,breaks,blocks,badHands,missedGoalTurnover,squadId,startingPositionCode,goalAttempts,goalAttempts3,deflections,goalAttempts2,goalAttempts1,contactPenalties,goalMisses1,goalMisses2,quartersPlayed,goalMisses3,minutesPlayed,turnovers,pickups,goals1,currentPositionCode,goals3,intercepts,goals2,matchId,periodId
0,0,0,0,0,1,1,0,0,0,1,80052,0,0,0,3,0,0,0,0,0,880,I,2,0,0,2,0,0,0,2,1,0,3,1,0,0,GS,0,0,0,100130203,3
1,1,0,1,0,1,0,0,0,0,1,80067,1,0,0,3,0,0,0,1,0,880,GS,3,0,0,1,2,1,1,1,1,0,4,2,0,1,I,0,0,0,100130203,3
1,0,0,1,0,3,1,0,1,0,3,80072,1,0,0,3,0,0,0,0,0,880,GA,2,0,0,1,1,0,0,1,1,0,4,0,0,1,I,0,0,0,100130203,3
0,1,1,0,0,0,0,0,0,0,0,80343,0,0,0,3,0,0,0,0,0,880,GK,0,0,0,0,0,1,0,0,1,0,6,0,0,0,GK,0,1,0,100130203,3
0,2,0,0,0,0,0,0,2,1,0,80440,0,0,0,3,0,0,0,0,0,880,I,0,0,0,0,0,1,0,0,1,0,5,0,0,0,GD,0,0,0,100130203,3
0,0,0,0,0,3,0,0,0,0,1,80574,0,0,0,3,0,0,0,0,0,880,C,0,0,1,0,0,0,0,0,1,0,3,0,0,0,I,0,0,0,100130203,3
0,3,0,0,0,0,0,0,2,2,0,80577,0,0,0,3,0,0,0,0,0,880,GD,0,0,0,0,0,1,0,0,1,0,3,0,0,0,I,0,0,0,100130203,3
0,1,0,0,0,3,0,0,0,0,1,991901,0,0,0,3,0,0,0,0,0,880,I,0,0,0,0,0,1,0,0,1,0,3,0,0,0,C,0,0,0,100130203,3
0,0,0,0,0,2,0,0,0,0,1,992954,0,0,0,3,0,0,0,0,0,880,I,0,0,1,0,0,0,0,0,1,0,2,0,0,0,I,0,0,0,100130203,3
1,0,0,1,0,1,0,0,0,0,1,993463,2,0,0,3,0,0,0,0,0,880,I,2,0,0,1,1,0,0,0,1,0,4,0,0,1,GA,0,0,1,100130203,3
0,1,0,0,0,1,1,0,1,0,1,80100,2,0,0,3,0,0,0,0,0,881,I,4,3,0,1,0,1,0,1,1,1,5,1,0,0,GA,2,0,0,100130203,3
0,0,0,0,0,0,0,0,1,0,0,80225,0,0,0,3,0,0,0,0,0,881,I,0,0,0,0,0,0,0,0,1,0,4,0,0,0,GD,0,0,0,100130203,3
0,0,0,0,0,0,0,0,1,0,0,80287,1,0,0,3,0,0,0,0,0,881,GA,3,0,0,3,0,0,0,2,1,0,2,1,0,0,I,0,0,1,100130203,3
0,0,0,0,0,3,0,0,0,0,2,80477,0,0,0,3,0,0,0,0,0,881,I,0,0,0,0,0,0,0,0,1,0,2,0,0,0,C,0,0,0,100130203,3
1,2,2,0,0,0,0,0,0,1,0,80478,0,0,0,3,1,0,0,0,0,881,GD,0,0,0,0,0,1,0,0,1,0,5,0,0,0,GK,0,1,0,100130203,3
0,1,0,0,0,4,0,0,0,0,3,80582,0,0,0,3,0,0,0,0,0,881,I,0,0,0,0,0,1,0,0,1,0,3,0,0,0,I,0,0,0,100130203,3
1,0,0,1,0,1,0,0,0,0,1,80710,2,0,0,3,0,0,0,0,0,881,GS,2,0,0,0,2,0,0,0,1,0,6,0,0,2,GS,0,0,0,100130203,3
1,1,1,0,0,0,0,0,0,0,0,993041,0,0,0,3,1,0,0,0,0,881,GK,0,0,0,0,0,1,0,0,1,0,4,0,1,0,I,0,0,0,100130203,3
0,0,0,0,0,3,0,0,0,0,2,994117,0,0,0,3,0,0,0,0,0,881,C,0,0,0,0,0,0,0,0,1,0,2,0,0,0,I,0,0,0,100130203,3
0,0,0,0,0,0,0,0,0,0,0,1003470,0,0,0,3,0,0,0,0,0,881,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I,0,0,0,100130203,3
